id;autors;fecha_nato
98869;Jack Leigh;1952-07-15
98870;B. L. Allen;2003-05-25
98871;D. Eric Walters;1998-04-16
98872;Kenneth R. Wye;2003-08-21
98873;Mingo Allen;1975-06-24
98874;Joel S. Leitch;1934-02-13
98875;Zukiswa Wanner;1980-08-30
98876;Lois Greenfield;1975-01-17
98877;Yvonne M. Khin;1919-06-18
98878;Teresa Chandler Sabourin;1965-04-14
98879;Mariko Mori;1985-09-09
98880;Richard L. Miller;2003-02-24
98881;Emily Ruskovich;2004-11-03
98882;Jack L. Roberts;1909-08-09
98883;Charles J. McClain;1904-09-22
98884;Nam-Ho Kim;1953-02-03
98885;Lyndon Baines Johnson;1981-11-20
98886;Janet McGiffin;1930-03-30
98887;Captain George Galdorisi;1968-08-04
98888;Joel Shepherd;2002-12-08
98889;Ronald Gene Davis;1935-09-23
98890;Tara Koerber;2021-06-01
98891;John J. McGrath;2001-04-25
98892;Daniel Ichbiah;1949-04-10
98893;James Gordon;1938-01-05
98894;David Zyla;1991-06-17
98895;Jim Rossi;1934-05-09
98896;Mrs. John King Van Rensselaer;1956-04-04
98897;Howard M. Kanare;2006-01-01
98898;Jeannie Lo;1970-04-11
98899;Gary W. Gore;2001-02-28
98900;Ian Seidler;1930-05-27
98901;Marta Morazzoni;1979-05-21
98902;Colleen Taylor Sen;1921-04-03
98903;David Jon Winding;1966-12-12
98904;Wilbert James McKeachie;1900-08-15
98905;M. Erica Dankoff;1918-08-28
98906;David L. Buchbinder;1960-12-30
98907;Ingrid Trobisch;2020-03-02
98908;Kristine Setting Clark;1989-04-21
98909;Farrah Gray;1977-06-11
98910;E. A. Wyke-Smith;1915-12-01
98911;Canis Latrans;1961-08-12
98912;Carole Elizabeth Buggé;1992-11-05
98913;David Robert Walker;1937-05-12
98914;Edward L. Palmer;1994-02-12
98915;Pamela Nichols;1943-09-01
98916;Maurice A. Robinson;1912-05-30
98917;Gene De Paul;1953-10-25
98918;Medard Boss;1969-01-07
98919;Ron Mackay;1934-01-23
98920;Lawrence E. Mick;1926-09-21
98921;Marvin L. Brown;2000-05-25
98922;Charles Mason;1912-07-23
98923;Anne McGill-Franzen;1935-05-19
98924;Brad E. Sachs;2016-05-04
98925;Molly Ivins;1925-03-21
98926;Edie Franson;1994-04-05
98927;Gustav Davidson;1955-03-03
98928;Yuri I. Shevchuk;1926-01-06
98929;Mark Morris;1907-01-15
98930;Carol L. Young;2007-08-31
98931;Sam Quinones;2018-01-19
98932;Terri Seddon;1947-04-27
98933;Virginia Ashby Sharpe;1935-11-04
98934;Jiří Weil;1987-12-02
98935;Dawn Goodwin;2003-07-03
98936;Rita Woods;1932-05-21
98937;Stephen E. Robinson;1911-12-11
98938;William H. Hallahan;1980-04-27
98939;Jeff Grist Memo Gidley;1954-04-03
98940;Sharon Jeffers;1999-03-03
98941;Shiv R. Jhawar;1940-06-13
98942;Sheila Macdonald;1910-07-27
98943;Jeroen Duindam;1961-04-25
98944;Joanne Ramos;1918-10-29
98945;Hubert Chanson;1946-04-16
98946;Jim Gavin;1965-05-29
98947;Michael J. Sidnell;1995-03-12
98948;Swami Sharvananda;1932-05-01
98949;Juliana Wadham;1920-08-12
98950;Mike Boldt;1933-08-10
98951;Carlin A. Barton;1974-06-05
98952;April Martin;1999-06-26
98953;Long Cheng;1910-10-20
98954;Joe Moore;1992-05-16
98955;Paul J. Pastor;1910-11-23
98956;Kevin K. Gaines;1937-03-23
98957;George Alexander Lensen;1959-09-14
98958;Harold D. Underdown;1979-09-24
98959;Hans Kraus;1982-05-29
98960;Kate Bowler;1992-07-22
98961;Florence Cooke Newberry;1943-09-14
98962;Ingrid Hult Trobisch;2015-03-09
98963;Rebecca Gowland;1910-07-04
98964;John Mattill;1979-03-22
98965;Vicki Laveau-Harvie;1941-09-22
98966;Earl William Swokowski;1904-09-27
98967;Elizabeth Grant;2010-01-02
98968;S. Suzanne Nielsen;1990-02-25
98969;Fonzworth Bentley;1935-11-11
98970;Steve Portigal;1996-02-25
98971;Sandra M. Reed;1985-02-22
98972;Richard K. Lieberman;1928-11-01
98973;Brion Toss;2016-02-12
98974;Mike Miller;1969-05-12
98975;Martha Giddens Nesbit;1920-01-03
98976;Charles River;1984-10-21
98977;Martin Fishbein;1909-08-27
98978;R. A. Stradling;1985-03-19
98979;Rosalind Cole;1938-06-01
98980;Panos E. Livadas;1936-11-02
98981;Nigey Lennon;1996-11-29
98982;Denise Cory Blake;1982-12-20
98983;Patricia Kirmond;1924-05-28
98984;Melanie Cantor;2019-05-23
98985;Joanot Martorell;1981-02-14
98986;C. P. Quesenberry;1995-12-24
98987;Greg Albert;1975-12-07
98988;Sal Gilbertie;2011-12-01
98989;Henri Hubert;1957-04-13
98990;Lydia Minatoya;2017-07-12
98991;Edward Chancellor;1921-03-19
98992;Hillary Rodham Clinton;2015-06-09
98993;B. Kay Fraser;1963-12-01
98994;Samuel A. Culbert;2002-04-21
98995;Tawna Fenske;2001-03-28
98996;James G. Simmonds;1975-04-19
98997;Congressional Research Service: The Libr;1942-01-27
98998;Esther M. Wilkins;1941-03-28
98999;Susan Ludington-Hoe;1953-12-22
99000;Zachary Karabell;1942-01-15
99001;CCPS (Center for Chemical Process Safety);2021-02-27
99002;Robert S. McDaniel;1947-09-28
99003;Irene Brand;1914-08-31
99004;Josef Baudis;1928-07-27
99005;Robert Widder;1957-07-28
99006;Karl A. Krippes;1964-08-15
99007;Sheila McMillen;1927-06-01
99008;John Penrod;1964-06-06
99009;Emily Rand;2008-06-02
99010;Edward H. Judge;1912-03-27
99011;Loren Wahl;1915-12-11
99012;Rockford Lhotka;2021-12-15
99013;Heather R. Joseph-Witham;2017-07-01
99014;Jose Luiz Fiadeiro;1946-12-03
99015;M. Anthony Wong;1960-09-19
99016;Cherrie L. Moraga;1986-07-13
99017;Neil Humphreys;1959-05-01
99018;Larry Lowenthal;2015-12-05
99019;Barry Williams;1973-09-11
99020;Danny Ryan;1927-03-27
99021;Richard J. Bird;1935-12-16
99022;Penelope K. Trickett;1970-09-28
99023;Marjory McKinley;1943-10-29
99024;J. Roger Osterholm;1962-11-30
99025;T.G. Tucker;1910-03-13
99026;Howard B. Schiffer;1917-12-13
99027;John Neufeld;1969-02-07
99028;Debrah Constance;1951-05-05
99029;John Atkinson Hobson;1912-11-21
99030;Lindsey Fairleigh;1955-12-31
99031;Denise Denniston;2020-07-24
99032;David C. Noe;1941-12-29
99033;Kristian Kristiansen;2002-07-25
99034;Stuart J. Fiedel;1979-05-24
99035;Larry Estebo;1992-06-25
99036;Jarrold Printing Staff;1943-10-25
99037;Nicholas (Prince of Greece);1940-01-15
99038;Sean F. Kelly;1950-09-12
99039;Deanna Washington;1902-10-29
99040;Julianna Slattery;1989-09-22
99041;Melanie M. Jeschke;1939-10-21
99042;Roberto Costantini;1973-07-27
99043;Charles Pickstone;1907-04-01
99044;Keith C. Hansen;2005-01-28
99045;John E. King;2006-01-21
99046;Courtni Wright;1938-12-18
99047;Julie Murray;1970-12-02
99048;Rick Gratton;1939-10-29
99049;Lisl Weil;1962-10-08
99050;Clive P. Page;1914-08-09
99051;Jennifer Rounds;2001-06-06
99052;James Carville;2010-05-18
99053;Judith Grossman;1993-08-05
99054;Louise Simonson;1966-10-22
99055;Karen Harper;2016-06-28
99056;James Britt;2018-12-28
99057;Freeman Lloyd;1997-09-13
99058;I. Bernard Cohen;1956-03-23
99059;Lee Hart;1975-02-26
99060;Claire Russell;2020-04-25
99061;James E. Gunn;1940-03-24
99062;Marilyn Rawlings;1955-12-06
99063;Arthur Clark Bivens;1903-05-15
99064;Ivor Goodson;1954-06-12
99065;Marc Allen;1972-07-31
99066;Amy Scuteri;1992-05-16
99067;Raymond Arroyo;1921-10-23
99068;Vincent J. Lynch;1949-12-26
99069;Maurice Nicoll;1977-10-18
99070;Alan Gottlieb;1963-05-05
99071;Mary Cable;1977-03-30
99072;Mike Wendland;1978-12-29
99073;Betty Christy;1935-10-27
99074;J. LEE READY;2000-06-08
99075;Moses King;1900-05-07
99076;Michael Meeker;1903-10-10
99077;TShree;1952-09-25
99078;Andrew Karmen;1907-07-05
99079;Robert Bowers;1988-05-26
99080;Vincent H. Jefferds;2003-04-24
99081;Alan Gersten;1963-02-26
99082;Michael Hebron;1925-08-30
99083;Parvis F. Rad PhD, PMP;2015-07-03
99084;Professor Denis Cosgrove;1961-05-11
99085;Catherine Bowman;1971-05-28
99086;Kathryn Casey;2019-11-19
99087;Kathleen Keena;1951-11-03
99088;Keppel Archibald Cameron Creswell;1971-07-06
99089;Vanessa Lampert;1950-05-18
99090;Bhakti Tirtha Swami;1952-04-06
99091;Eamonn Carrabine;1924-12-06
99092;Pippa Dean Notebooks;1911-09-08
99093;James F. McCloy;1950-12-17
99094;Cleophus James LaRue;1957-04-28
99095;Alfred Hulse Brooks;2015-02-26
99096;World Spaceflight News;1967-07-02
99097;David S. McFarlane;1978-03-24
99098;Katherine Adams;1992-05-08
99099;Eduardo Manuel Gil Martínez;1937-04-05
99100;Robert T. Ammerman;2015-01-21
99101;Donald M. Anderson;1999-10-15
99102;Johanna Johnston;1970-06-15
99103;Simon Hughes;1968-12-09
99104;Thomas J. Neff;1949-10-07
99105;Judith Clavir Albert;1952-07-21
99106;Bennett T. McCallum;1945-06-24
99107;Edward F. Treadwell;1988-01-01
99108;Joy Sikorski;1949-04-05
99109;Mark McNeilly;1927-06-08
99110;Islay Auty;1977-08-16
99111;Matthew Zagumny;1926-06-16
99112;Gordon Kane;1950-01-11
99113;Simone Thorne;1924-12-19
99114;Penny David;1981-03-10
99115;S.J. Rozan;2003-07-06
99116;Patricia A. Egerton;1946-06-04
99117;Robert W. Douglass;1956-01-23
99118;Constance Rhodes;1933-04-05
99119;Sebastian Haffner;1935-04-09
99120;Eleanor M. Sickels;2010-08-12
99121;David Norton;1927-03-24
99122;Michael-Patrick Harrington;1934-12-01
99123;William B. Crick;1908-04-10
99124;Linda Gambrill;1973-09-24
99125;Gay Lumsden;1942-04-22
99126;James Phinney Baxter;1912-12-30
99127;Marilyn H. Oermann, PhD, RN, FAAN;1928-02-05
99128;Eberhard Busch;2014-01-04
99129;Theodore Toatley;1927-04-08
99130;BRITISH LEYLAND.;1967-05-22
99131;John Torpey;1906-05-01
99132;Smart Bookx;1982-02-13
99133;Syl Sobel;1918-05-22
99134;H. M. Zijlstra-Zweens;2020-06-18
99135;Robert Richards;1951-11-01
99136;John McVicar;1903-04-14
99137;Trudee Romanek;1945-09-06
99138;Kenneth C. Chern;1948-09-03
99139;Richard Scrimger;1934-08-06
99140;Xin Xu;1918-03-14
99141;Eric Blau;2015-12-21
99142;Peter Kuhfittig;2018-04-10
99143;B. Wayne Bequette;1976-04-05
99144;H. David Thurston;1908-02-20
99145;Christopher Vaughn Couse;1913-10-15
99146;Mary Kaldor;1939-01-12
99147;Diana Schwarzbein;1968-11-21
99148;Christine Elisabeth Jackson;1955-01-02
99149;Tom Porter;1943-11-02
99150;Richard A. Gardner;2019-12-23
99151;Dean Inserra;2013-01-19
99152;Bart G. Farkas;2017-05-13
99153;William K. Stevens;1946-06-05
99154;Wayne Barber;2019-04-02
99155;Christopher Benjamin;2004-11-23
99156;Valerie Marsico;1957-05-16
99157;United States Pharmacopeia;1957-03-27
99158;Jerry Roberts;1948-02-28
99159;Eugenio Chang-Rodriguez;1916-12-04
99160;Judith A. McManus;1981-03-12
99161;Ed Ayres;1957-03-19
99162;Kent Lester;1923-12-28
99163;Kimberly Marooney;1948-02-12
99164;Paul E. Schellinger;1987-11-23
99165;James H. Hauver;1987-04-20
99166;Didier Perennez;1999-09-21
99167;James Lees-Milne;2007-07-31
99168;Asunción Gómez-Pérez;1934-10-26
99169;OUP;1900-05-05
99170;S.P. Cammick;2011-04-04
99171;Sean Kelly & Ted Mann & Byron Preiss;1964-06-21
99172;Rebecca Gregson;1917-12-26
99173;David Chaney;1908-05-04
99174;Peter Furnborough;1913-11-30
99175;Frederick Asals;1906-11-05
99176;Richard Dalby;2009-09-30
99177;Stephen Stepanchev;1930-10-23
99178;Robert Goldman;1918-04-22
99179;Alison M. Pendergast;1928-01-13
99180;Martha Davis;1930-05-08
99181;Heather Miller Coyle;2000-10-03
99182;Carleen Brice;2007-09-24
99183;Enid Welsford;1946-01-09
99184;Robert Alberti;1945-02-02
99185;Charles I. Budd;1961-04-20
99186;Diane M. Komp;1961-07-28
99187;Clare Carlisle;2020-10-05
99188;Bertha M. Clay;1946-11-16
99189;Bob Collier;1991-07-18
99190;April Pulley Sayre;1908-05-31
99191;Harold E. Kohn;1913-01-04
99192;Thomas Jefferson Villers;1923-01-14
99193;Calder Willingham;1952-11-06
99194;Morty McCarthy;1972-06-06
99195;Swami Krishnapada;2004-01-22
99196;L. R. Miller;1935-07-13
99197;Makrand Mehta;2002-09-02
99198;Daniel P. Fuller;1995-09-13
99199;Steven Ball;1974-05-04
99200;Maureen Maurer;1963-07-01
99201;Stacy Wasmuth;1956-04-15
99202;Belle Case La Follette;1900-12-05
99203;Jeff Wiese;1915-09-12
99204;Danielle Smith-Llera;1962-08-02
99205;Charlton Thomas Lewis;2005-09-18
99206;Bobbi Kates;2011-02-12
99207;Michael Freedland;1901-02-20
99208;Judith Grunfeld-Rosenbaum;1994-01-24
99209;Anne Richards;2002-09-06
99210;Douglas Long;2010-03-30
99211;Paul E. Breer;1929-03-25
99212;Baron Von Muffling;1965-01-18
99213;Leslie Pockell;1910-09-14
99214;Eliane Strosberg;1921-12-18
99215;Origen;2017-05-14
99216;Richard H. Kraemer;1934-10-03
99217;Henry De Vere Stacpoole;1962-08-06
99218;Robert Craycroft;1990-03-02
99219;Twigg Jeanine;2009-03-18
99220;Olga Altstatt;1929-06-25
99221;Anne Wright;1929-06-26
99222;Theodora Bynon;2005-01-15
99223;Sheila Grant;1951-02-10
99224;David C. Scott;1992-11-12
99225;Hakan Günday;1956-10-02
99226;Volker Höhfeld;2013-12-02
99227;Antony Dunn;1928-11-08
99228;Morag Murray Abdullah;1987-06-18
99229;Gideon Bosker;1941-04-15
99230;Jonathan Crary;2017-12-19
99231;American University of Beirut (BEYROUT);1959-01-06
99232;John Wheatman;1977-02-23
99233;Eyal Amiran;1957-02-05
99234;Joanna Hampton;1975-11-25
99235;Gustav Kobbé;1991-10-24
99236;Susanne MacGregor;1946-04-10
99237;Rebecca Weiner;1935-03-30
99238;McVea;1949-07-06
99239;Forrest R. Lindsey;1970-03-23
99240;National Collegiate Athletic Association;2001-12-04
99241;Marisa Kantor Stark;1956-02-13
99242;Margaret Urban Walker;1960-05-09
99243;Cameron Tuttle;1907-07-09
99244;Harry Parsons Garland;1943-06-25
99245;Brent Davis;1972-01-07
99246;Dara Boland;2019-10-17
99247;Chris Columbus;1952-01-23
99248;David A. Langebartel;1914-04-02
99249;John Drummond;1917-08-29
99250;Matt Thomas;1920-12-06
99251;Ian C. Storey;1965-01-11
99252;Cengage Cengage;1961-10-13
99253;Athol Dickson;1956-01-04
99254;Edward Ormondroyd;1923-02-26
99255;Gail Green;1943-10-03
99256;Dr. Vincent Di Maio;1961-02-13
99257;Daniel J. Vivian;1907-12-15
99258;Swami Chidbhavananda;1928-07-22
99259;Deana Alonso-Lyrintzis;1924-06-20
99260;Ben Harrison;2017-04-07
99261;R. M. Koster;1920-07-25
99262;Chris Bishop;1966-06-12
99263;John F. Stacks;1926-10-30
99264;Robert Eunson;1911-08-07
99265;Sheila Kaye-Smith;1963-06-20
99266;Daniel Brook;1927-11-06
99267;Stefan Themerson;1905-04-21
99268;D. Michael Lindsay;1901-11-28
99269;David Alan Knight;1925-02-27
99270;Joris-Karl Huysmans;1990-10-10
99271;Richard Lawrence Miller;1972-08-08
99272;Louis Bergeron;1953-04-20
99273;William R. Short;1978-11-15
99274;Carol Jackson Robinson;1976-05-22
99275;Mac Randall;1907-01-25
99276;Robert L. Cantrell;1992-10-18
99277;John V. Lake;1930-12-19
99278;Malcolm Llewellyn-Jones;1925-09-04
99279;Christina Bauer;1957-05-07
99280;Howard N. Garb;1971-11-09
99281;Marni McNiff;1914-06-24
99282;Judy Freeman;1961-02-27
99283;Jane Glicksman;2021-11-16
99284;Jack Reason;1943-01-17
99285;Mary A. Sobut;2000-07-10
99286;James Heron;2020-09-30
99287;Maryjo Koch;1980-06-14
99288;Wendy Pini;1980-09-21
99289;Jack Foster;1930-08-21
99290;Jeremy Scahill;1922-03-04
99291;Ian C. Jarvie;1912-07-13
99292;Thomas G. Aylesworth;1960-11-01
99293;Ronnie D. Garner;1954-08-30
99294;Martin Sixsmith;1996-01-06
99295;Origenes;1994-05-25
99296;Agnes Strickland;1955-02-20
99297;Oeste de la Luna;1956-10-26
99298;Kevin Brennfleck;2009-07-10
99299;Hans Halberstadt;1975-09-04
99300;Frederick R. Prete;1998-07-09
99301;CDL Test Prep Team;1900-02-03
99302;James Edward Ryan;1906-03-17
99303;A. Petersen;1938-11-01
99304;Alisa Solomon;1999-03-28
99305;Michael Karl Witzel;1930-08-22
99306;Robert Louis Flood;1920-06-11
99307;Reza Nazari;2013-01-04
99308;Herbert Zettl;1938-03-14
99309;Paul Sevier Minear;1990-09-09
99310;Ralph R. Young;1928-02-09
99311;Al Stetz;1990-10-15
99312;Arizona Department of Transportation;2011-09-21
99313;Max Daniels;1970-06-26
99314;Erik Dyreborg;1968-06-08
99315;Thom S. Rainer;1981-09-14
99316;Julie A. Hyzy;1951-12-14
99317;Larry Hajime Shinagawa;1944-05-24
99318;William Richard Stegner;1993-09-14
99319;Janet Poland;1915-09-13
99320;Randy Y. Hirokawa;1941-02-25
99321;Jacques Hassoun;1996-03-27
99322;Mark L. Strauss;1953-10-23
99323;Doug Boyd;1906-11-24
99324;B. Anderson;1926-03-28
99325;Etta Shiber;1965-12-18
99326;Roseanna M. White;1973-07-15
99327;Roger Fields;1976-05-27
99328;Jane K. Doty;1911-12-30
99329;Victor Silvester;1915-06-29
99330;Shane Templeton;1905-01-13
99331;Robert Payne Smith;2008-11-10
99332;Robert Coram;2011-09-23
99333;Cheryl Wolverton;1938-06-18
99334;School Zone;1955-04-11
99335;Michael G. Cochrane;2004-11-18
99336;Joan Ryan;2002-07-03
99337;Richard O. Nielsen;1955-09-24
99338;Eleanor Craig;1926-07-15
99339;Craig Phelan;1939-02-01
99340;Edward C. Kvetko;2016-02-16
99341;CUE Art Foundation;1970-02-04
99342;George Savage;1945-11-04
99343;Marthe Jocelyn;1950-06-19
99344;Ann Cutler;1901-02-22
99345;David B. Weems;2000-10-13
99346;Hans Ruesch;1931-05-01
99347;Marian Novick;1953-10-08
99348;Nicholas M Healy;1937-05-15
99349;Miles Hood Swarthout;2016-03-28
99350;Grace Dent;1922-02-06
99351;Thomas J. Anderson;1974-05-19
99352;Bob Baker;2014-08-04
99353;"Connell Killen""]";1948-09-09
99354;Joe Dan Lowry;1903-12-15
99355;Emran Qureshi;1924-11-09
99356;Ibram X. Kendi;1964-03-30
99357;Ros Asquith;2004-07-20
99358;Dan Campanelli;1984-01-21
99359;Charles O. Stapleton;2015-04-21
99360;Marian Liebmann;1903-07-14
99361;Paul Richard Halmos;2012-08-02
99362;Sandra Madden;2001-07-22
99363;Melicent Humason Lee;1996-12-22
99364;Russell Sullivan;1901-06-01
99365;David Card;1984-11-23
99366;Jon D. Sutherland;2009-12-11
99367;Robert Johnson;1949-06-16
99368;Lenny Bartulin;1906-08-03
99369;Paul O. Harder;1910-07-26
99370;Greg Restall;2008-08-03
99371;Clarissa Ross;1904-06-09
99372;Edgar Gregersen;1947-12-14
99373;Walter Warwick Sawyer;1966-06-06
99374;CULADASA;2016-12-21
99375;Edmund Wallace Hildick;1990-07-22
99376;Joan Wiener Bordow;1975-09-06
99377;Stephen James Zipko;2002-10-21
99378;Samuel G. Dawson;1926-10-22
99379;Albert Francis Conant;1971-06-29
99380;Marie Cardinal;1952-06-11
99381;Joy King;1986-12-05
99382;V. M. Barrios;2014-05-11
99383;Gerda Bengtsson;1946-07-08
99384;Graham Moss;2003-04-05
99385;Paul Levesque;1970-01-24
99386;Michael Donnelly;2005-12-30
99387;James K. Bracken;1980-09-24
99388;Rudolph Carl Gorman;1996-08-24
99389;Gloria Krasnow Liebenson;1934-05-29
99390;Kath Clements;1989-08-16
99391;Rory Muir;1951-03-13
99392;Seton Press;1907-05-11
99393;Sarah F. Zarbock;1960-08-30
99394;Helen Gardner;1968-12-11
99395;Robert E. Francis;1987-03-25
99396;Nahem Yousaf;1999-09-25
99397;Vicki Noble;2008-09-09
99398;Jim Bradbury;1928-02-24
99399;Ken Ziesenheim;1951-10-07
99400;Brian Bouldrey;1941-05-16
99401;Ivor John Carnegie Brown;1959-01-05
99402;Jeanette McFarlin;2001-12-06
99403;Waylon Jennings;1977-08-23
99404;H. Norman;1914-10-09
99405;Rebecca Potts;2000-10-04
99406;Bill Foust;1981-01-31
99407;Stuart A. McCrary;1902-02-07
99408;Erica Knight;1993-03-14
99409;Fred Shoemaker;1967-02-07
99410;Michael Alexandra Davida;1901-02-20
99411;Mimi Dietrich;1949-08-15
99412;Lionel Rolfe;1955-05-13
99413;Guy Cadogan Rothery;2005-12-25
99414;Edward Holdsworth Sugden;1963-05-11
99415;Dennis McNamara;1945-01-15
99416;Trevor Misfeldt;1949-10-28
99417;Frances Roding;1958-09-30
99418;Robert F. Kennedy;1937-08-14
99419;Sirrus Poe;1928-05-04
99420;Harold Isbell;1966-04-27
99421;Alan Roberts;1902-11-25
99422;Cynthia Bourgeault;1950-01-29
99423;Duane R. Monette;1938-03-21
99424;Amarra S. J Lock;1905-10-11
99425;Diane E. Marting;2003-04-18
99426;Patricia Coombs;2014-02-12
99427;Martin P. Nilsson;1903-01-09
99428;Jason Cole;1943-11-15
99429;Sean Wagstaff;1928-07-02
99430;Kenneth W. Osbeck;1977-02-02
99431;Jacky Klein;1923-12-06
99432;Weegee;1926-10-28
99433;"Entremont""]";2004-04-07
99434;Editors Of Perseus Publishing;1928-06-14
99435;Barbara E. Mauzy;2010-12-28
99436;John L. Peterson;2007-05-12
99437;Aishling Morgan;1949-05-30
99438;Dennis McCort;1965-04-25
99439;Donald T. Saposnek;1933-08-30
99440;Steve Williams;1990-04-05
99441;Mr. X.;1940-02-04
99442;Boris Riskin;1972-05-12
99443;Darl Kuhn;2007-07-31
99444;Nita Hickok;2017-07-24
99445;Gerald Schroeder;1979-06-19
99446;Nicholas Luard;1979-08-20
99447;Norman H. Crowhurst;1928-06-09
99448;Crystal McVea;1955-01-19
99449;James Crockett Rippey;1917-10-11
99450;Leo Katcher;1964-07-14
99451;Ellie Belew;1970-05-10
99452;Zachary Shute;1902-10-17
99453;Mike Monlezun;1960-03-31
99454;Barbara Chernitz;1989-08-31
99455;Elena Abraszek;1987-09-20
99456;L. B. E. Cowman;2005-04-05
99457;Trevor H. Levere;1938-10-16
99458;J. Othello;1915-12-17
99459;Bill Owens;1912-03-05
99460;Betts, Elijah Mary;1990-12-28
99461;Agnesa Reeve;1990-03-25
99462;Lars Ahlberg;2010-08-11
99463;Mary Elizabeth Johnson Huff;1900-06-18
99464;Linda Argote;1984-06-20
99465;Alfred Dodd;1985-09-03
99466;Ruth Dudley Edwards;1999-04-30
99467;McIntosh;1970-12-03
99468;L. F. E. Coombs;1999-05-11
99469;George Franklin Cram;1992-11-13
99470;William Stevenson;2014-09-30
99471;Ellen (Aunt.);1972-05-19
99472;Morse;1935-05-17
99473;Murray Sargent;2016-07-30
99474;H. I. Larry;1949-06-27
99475;Roger A. Brumback;1965-03-30
99476;Hannah Carter;1980-01-24
99477;Andrew Shaw;1935-09-17
99478;Joseph W. R. Lawson;1959-05-23
99479;Kyt Dotson;1963-01-27
99480;Ilya Gertsbakh;2012-10-16
99481;Kathy Griffin;1900-03-12
99482;John Allphin Moore, Jr.;1909-09-30
99483;Leonard B. Glick;1940-02-05
99484;Aisling Parkes;1966-12-18
99485;Felicia Williams;1962-01-30
99486;Kingdon L. Brown;1997-07-10
99487;Lisa Patton;1955-07-28
99488;Gary Colombo;1926-10-27
99489;Michael Zakian;1947-11-02
99490;Mel Boring;1929-07-26
99491;John L. Howland;1965-08-11
99492;Norman Lin;1968-09-09
99493;Arieh Warshel;1925-06-07
99494;Goldwin Albert Smith;1973-04-04
99495;History Channel (Television network);1981-06-14
99496;Paul Raeburn;2016-11-25
99497;Don Judson;1900-12-30
99498;Mark Rubinstein;1986-07-27
99499;Gordon Stifler Seagrave;2005-01-30
99500;Ken Nair;2005-04-14
99501;Jeanette Cottrell;1910-02-16
99502;José Clemente Orozco;2014-07-02
99503;Dibiasio Publications;1944-01-13
99504;John A. Salmond;1942-08-17
99505;Lisa Rogak;1933-11-19
99506;Paul A. Laughlin;1963-06-25
99507;Sabina Roberts;1904-05-31
99508;Philip Mason;1918-10-07
99509;Henry Fersko-Weiss;1955-07-12
99510;Peyo;1979-03-24
99511;Whitney Lowe;1989-12-25
99512;Marie McSwigan;1930-04-30
99513;R. McNeill Alexander;1991-12-11
99514;Graham Evans;1975-02-17
99515;Donald Mitchell;1926-12-30
99516;Bridget A. Kevane;2015-12-09
99517;Pieter M. Kroonenberg;2004-09-05
99518;Lauren Alison;1989-12-18
99519;John Shannon;1926-12-08
99520;Yingjin Zhang;1985-06-01
99521;Carson-Dellosa Publishing, LLC;1987-12-08
99522;D. Ohrnberger;2011-08-26
99523;Geula Cohen;2015-11-13
99524;Peter Davenport;1944-02-22
99525;James Macarthur Reid;1933-02-10
99526;Oswald Rivera;2020-11-06
99527;Phyllis Reid Fenner;1989-09-12
99528;William E. Odom;2019-10-26
99529;Guy Savoy;1995-02-26
99530;Jerry Crownover;1968-02-17
99531;David Crossley;1976-10-19
99532;Alice Sparkly Kat;1972-12-10
99533;Sam Brown;1976-04-28
99534;Bradley Wilson;1923-04-06
99535;Pete Brown;1957-07-01
99536;Jeff Cody;1971-05-15
99537;Goran Vojnovic;1989-05-08
99538;Joseph Gold;2000-01-12
99539;William R. Trotter;1929-06-09
99540;Doug McIntosh;1986-09-17
99541;Steven J. Isakowitz;2016-12-17
99542;Melanie Thorne;1990-02-08
99543;Sobol Donald J.;2012-07-30
99544;Mark S. Senak;1944-07-26
99545;Sondra Perl;1996-05-03
99546;George John Romanes;1935-05-04
99547;Maggie Smith;1915-12-14
99548;John Mark Terry;1941-01-30
99549;Anna Davis;1968-08-23
99550;Haohsiang Liao, Ph.D.;1936-05-08
99551;Kay Winzenried;2002-08-11
99552;University Lecturer in International Relations Andrew Hurrell;1934-11-05
99553;John S. Matthiasson;2015-06-10
99554;Lindsay Shaffer;1908-11-05
99555;Edward John Moreton Drax Plunkett Baron Dunsany;1905-01-03
99556;Chaim Rapoport;2011-05-15
99557;Bianca Bradbury;2016-02-12
99558;Donna Fleisher;1974-07-13
99559;Mary Harrison Carroll;1909-11-22
99560;Harriet Connor;1901-07-05
99561;Ralph Penny;1922-02-22
99562;Joel Lurie Grishaver;2014-09-19
99563;Robert McClory;1935-05-13
99564;Walter Karp;2007-04-01
99565;Todd Aaron Smith;1959-04-30
99566;Gennaro Chierchia;2020-05-02
99567;Rebecca Bloom;1944-11-05
99568;John Desjarlais;2016-02-17
99569;Ralph Grizzle;1939-04-11
99570;Ken Siegmann;1944-07-28
99571;Robert Dirks;1976-02-20
99572;Brian Lav;1905-07-31
99573;Pat Mower;1905-06-27
99574;Thomas H. V. Rich;1994-03-27
99575;Gregory of Nazianzus;2018-03-21
99576;Jason Brennan;2012-10-22
99577;D. Hardy;2008-05-05
99578;Ernest Pazera;1902-08-21
99579;Donna Lessard;1933-07-04
99580;Sarah Ann Curtis;1972-06-26
99581;Richard Thomson;1996-08-20
99582;S. Drury;1971-06-02
99583;Bill Seaton;1999-01-31
99584;Stanley John Olsen;1929-11-28
99585;John G. Stackhouse;1976-11-28
